cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
2.0,0,65.0,2
2.0,0,65.0,7
2.0,0,65.0,15
2.0,0,65.0,2
2.0,0,65.0,36
2.0,0,65.0,72
2.0,0,65.0,108
2.0,0,65.0,144
2.0,0,65.0,180
2.0,0,65.0,2
2.0,0,65.0,7
2.0,0,65.0,15
2.0,0,65.0,2
2.0,0,65.0,36
2.0,0,65.0,72
2.0,0,65.0,108
2.0,0,65.0,144
2.0,0,65.0,180
2,0,16.5,7
2,0,17.5,15
2,0,15.5,2
2,0,21.5,36
2,0,28.0,72
2,0,34.5,108
2,0,41.0,144
2,0,47.5,180
2,0,30.5,7
2,0,33.0,15
2,0,28.5,2
2,0,40.0,36
2,0,52.0,72
2,0,64.5,108
2,0,44.5,7
2,0,48.5,15
2,0,42.0,2
2,0,58.5,36
2,0,58.5,7
2,0,63.5,15
2,0,55.5,2
4.5,0,5.0,7
18.5,0,20.0,7
37.0,0,40.0,7
4.0,0,5.0,15
17.0,0,20.0,15
34.0,0,40.0,15
5.0,0,5.0,2
19.5,0,20.0,2
39.0,0,40.0,2
3.5,0,5.0,36
14.0,0,20.0,36
28.0,0,40.0,36
2.5,0,5.0,72
10.5,0,20.0,72
21.5,0,40.0,72
2.0,0,5.0,108
8.5,0,20.0,108
17.5,0,40.0,108
2.0,0,5.0,144
7.5,0,20.0,144
14.5,0,40.0,144
1.5,0,5.0,180
6.5,0,20.0,180
12.5,0,40.0,180
64.0,0,65.0,15
54.0,0,65.0,36
43.5,0,65.0,72
37.0,0,65.0,108
32.5,0,65.0,144
29.5,0,65.0,180
63.0,0,65.0,36
52.0,0,65.0,72
45.5,0,65.0,108
41.0,0,65.0,144
38.0,0,65.0,180
61.0,0,65.0,72
54.5,0,65.0,108
50.0,0,65.0,144
46.5,0,65.0,180
63.0,0,65.0,108
58.5,0,65.0,144
55.5,0,65.0,180
64,0,65.0,7
64,0,65.0,15
64,0,65.0,2
64,0,65.0,36
64,0,65.0,72
64,0,65.0,108
64,0,65.0,144
64,0,65.0,180
64,0,65.0,7
64,0,65.0,15
64,0,65.0,2
64,0,65.0,36
64,0,65.0,72
64,0,65.0,108
64,0,65.0,144
64,0,65.0,180
61.0,0,65.0,72
63.0,0,65.0,36
63.0,0,65.0,108
